mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_alpha,param_min_samples_leaf,param_min_samples_split,param_n_estimators
0.7959076404571533,0.020337644747959713,0.028018712997436523,1.5078914929239175e-07,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}",-730.5789680295352,-654.6175438183051,-712.9723697609651,-638.7287834024496,-706.3691429570101,-688.653361593653,35.53567205437044,1,,2,2,250
0.34064183235168455,0.018223057641351594,0.01562643051147461,7.539457464619588e-07,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-733.8620162261928,-655.7003866176718,-727.5974643024423,-640.0865917905414,-709.1485072073854,-693.2789932288467,38.257453997773126,2,,2,2,100
0.7062138080596924,0.014207473160550809,0.03184609413146973,0.004652566268617669,"{'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 250}",-748.5789882378886,-659.9920617770093,-740.9307213709751,-644.2030050989487,-731.2335369942375,-704.9876626958119,43.81856170241634,3,,2,10,250
0.30071239471435546,0.022101589134397623,0.014903497695922852,0.001447653899042573,"{'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-749.4607573150946,-662.753282599332,-753.0122886851859,-646.9243298890639,-733.2574361643372,-709.0816189306026,45.06593398321147,4,,2,10,100
0.6757066726684571,0.02629511218787656,0.03550677299499512,0.0035158012904160855,"{'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 250}",-772.0650687626212,-668.2111707200572,-767.6026127788386,-657.3504705691297,-750.6005710800962,-723.1659787821485,49.94017290099827,5,,2,15,250
0.6817831039428711,0.01767319891691764,0.02643284797668457,0.00572563738089232,"{'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 250}",-773.4964677105328,-667.3126862698956,-769.7137792803222,-661.0648015860921,-744.8075692426829,-723.279060817905,49.28345937636828,6,,5,10,250
0.691212797164917,0.028447471250012152,0.030799341201782227,0.004669177029143584,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 250}",-773.4964677105328,-667.3126862698956,-769.7137792803222,-661.0648015860921,-744.8075692426829,-723.279060817905,49.28345937636828,6,,5,2,250
0.2837791919708252,0.018878923881577043,0.015626049041748045,2.11427681707338e-06,"{'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",-770.8895379732029,-675.2528258578099,-774.4095188447565,-662.9209147081854,-748.4188802489277,-726.3783355265765,47.780099040627086,8,,5,10,100
0.2722045421600342,0.013199189138737237,0.01510305404663086,0.0010468724254007527,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",-770.8895379732029,-675.2528258578099,-774.4095188447565,-662.9209147081854,-748.4188802489277,-726.3783355265765,47.780099040627086,8,,5,2,100
0.2906391143798828,0.021195533481436744,0.015626192092895508,6.217195897295617e-07,"{'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 100}",-776.0476591161963,-673.1791670420878,-776.5351772704258,-659.7000678575935,-753.6652197752794,-727.8254582123166,50.97645852353745,10,,2,15,100
0.03750176429748535,0.007654480353831521,0.0,0.0,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",-746.5122423210702,-677.7096129859513,-710.9873976422588,-697.8926140217612,-818.0717017804025,-730.2347137502887,49.30649288905307,11,,2,2,10
0.028618764877319337,0.0004906219531737787,0.002401590347290039,0.0004901739407733877,"{'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",-754.5379924409949,-684.0345463788207,-718.1263956743043,-692.7257962735792,-829.8896793078217,-735.8628820151041,53.012009672075834,12,,2,10,10
0.6673866271972656,0.02357323621035406,0.03685941696166992,0.006611482139789543,"{'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 250}",-795.0060605578817,-676.9883728824127,-791.2818933518672,-671.9948420825829,-759.6421070315782,-738.9826551812646,54.09492278479983,13,,5,15,250
0.2717577457427979,0.014187706395922206,0.011053752899169923,0.005758879835192919,"{'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 100}",-795.4700081462523,-685.2727528334528,-792.5433096926416,-673.9880282854323,-764.6569128941161,-742.386202370379,52.47831310928619,14,,5,15,100
0.027417850494384766,0.0004899211257710383,0.002401590347290039,0.0004901739407733877,"{'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 10}",-784.436129429599,-686.1969211258621,-768.3822610911343,-694.8631178118362,-794.0939167305324,-745.5944692377927,45.786227558777966,15,,5,10,10
0.03242096900939941,0.004719667590791553,0.003201913833618164,0.0003998518949700412,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 10}",-784.436129429599,-686.1969211258621,-768.3822610911343,-694.8631178118362,-794.0939167305324,-745.5944692377927,45.786227558777966,15,,5,2,10
0.03125162124633789,0.00988241937262125,0.0031250476837158202,0.0062500953674316405,"{'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 10}",-778.4421235303722,-682.4770345666676,-752.5377913109221,-707.272921647154,-833.5751335788898,-750.8610009268011,53.25682153656092,17,,2,15,10
0.026817464828491212,0.0003995424950796339,0.0024015426635742186,0.0004900182064194829,"{'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 10}",-807.2173484663994,-699.8438328102116,-790.829751018932,-709.9041395315264,-813.0065529267697,-764.1603249507677,49.05397917769324,18,,5,15,10
0.624346399307251,0.0349635859685716,0.032645368576049806,0.004538885018195744,"{'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 250}",-850.4867809487496,-703.4046679325189,-821.6878512889651,-704.5039696741918,-809.2198504459501,-777.8606240580751,61.81209224103352,19,,10,2,250
0.65255708694458,0.02862375493118114,0.03040480613708496,0.010027119165793205,"{'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 250}",-850.4867809487496,-703.4046679325189,-821.6878512889651,-704.5039696741918,-809.2198504459501,-777.8606240580751,61.81209224103352,19,,10,10,250
0.6290945529937744,0.021962452803831536,0.03333005905151367,0.007070842766532066,"{'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 250}",-850.4867809487496,-703.4046679325189,-821.6878512889651,-704.5039696741918,-809.2198504459501,-777.8606240580751,61.81209224103352,19,,10,15,250
0.2593872547149658,0.01593550211802083,0.009376096725463866,0.007655550966804701,"{'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",-846.3114416749218,-710.317353426052,-824.3814087826781,-707.7550875264964,-808.5610410981628,-779.4652665016623,58.7472871261906,22,,10,10,100
0.2656379699707031,0.009882947106972578,0.012500524520874023,0.006250262348426932,"{'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 100}",-846.3114416749218,-710.317353426052,-824.3814087826781,-707.7550875264964,-808.5610410981628,-779.4652665016623,58.7472871261906,22,,10,15,100
0.26914095878601074,0.01849153106208136,0.015380144119262695,0.0019225645569060888,"{'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100}",-846.3114416749218,-710.317353426052,-824.3814087826781,-707.7550875264964,-808.5610410981628,-779.4652665016623,58.7472871261906,22,,10,2,100
0.029819631576538087,0.005917393954776034,0.003002023696899414,0.0006327113530845986,"{'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}",-879.2718796503287,-726.2242301027349,-835.7346462235273,-723.8148733803926,-868.6892482494077,-806.7469755212782,68.26219747069649,25,,10,2,10
0.028126287460327148,0.0062507629630971,0.006250572204589844,0.007655356274595231,"{'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 10}",-879.2718796503287,-726.2242301027349,-835.7346462235273,-723.8148733803926,-868.6892482494077,-806.7469755212782,68.26219747069649,25,,10,15,10
